borehole_id,borehole_type,total_surviving_fio_load,Q_L_per_day,concentration_CFU_per_L
privbh_10617,private,12690168522.234663,2000.0,6345084.261117332
privbh_10618,private,25377241884.575596,2000.0,12688620.942287797
privbh_10620,private,12737221937.535446,2000.0,6368610.968767723
privbh_10621,private,12722504890.952795,2000.0,6361252.445476398
privbh_10624,private,12702695026.817965,2000.0,6351347.513408982
privbh_10627,private,12679523743.59629,2000.0,6339761.871798146
privbh_10628,private,12714633013.854237,2000.0,6357316.506927119
privbh_10629,private,12772018510.305784,2000.0,6386009.255152892
privbh_1063,private,203465025699.12988,2000.0,101732512.84956494
privbh_10636,private,25440353517.652664,2000.0,12720176.758826332
privbh_10637,private,305827435009.8673,2000.0,152913717.50493366
privbh_10638,private,12698215050.704344,2000.0,6349107.525352172
privbh_1064,private,12702578804.315197,2000.0,6351289.402157598
privbh_10640,private,12701084115.105003,2000.0,6350542.057552502
privbh_10642,private,12747332806.281115,2000.0,6373666.403140557
privbh_10643,private,38099469328.32087,2000.0,19049734.664160434
privbh_10644,private,12700463974.22682,2000.0,6350231.98711341
privbh_10645,private,12710998181.568085,2000.0,6355499.090784042
privbh_10647,private,12766865248.984495,2000.0,6383432.624492248
privbh_10659,private,102086166078.93982,2000.0,51043083.03946991
privbh_1066,private,12739702971.334494,2000.0,6369851.485667246
privbh_10665,private,126771707551.63998,2000.0,63385853.775819995
privbh_10666,private,126782729778.97296,2000.0,63391364.889486484
privbh_10667,private,126811387638.98691,2000.0,63405693.81949346
privbh_10668,private,152380349546.7394,2000.0,76190174.7733697
privbh_10670,private,25441513221.686455,2000.0,12720756.610843228
privbh_10672,private,12679550557.071451,2000.0,6339775.278535726
privbh_10673,private,101506819366.39989,2000.0,50753409.68319994
privbh_10674,private,203625106825.5824,2000.0,101812553.41279119
privbh_10676,private,12743751595.229969,2000.0,6371875.797614984
privbh_10678,private,941316468235.6923,2000.0,470658234.11784613
privbh_10679,private,12724712979.49429,2000.0,6362356.489747144
privbh_10681,private,12745574743.698908,2000.0,6372787.371849454
privbh_10682,private,25364886312.731102,2000.0,12682443.156365551
privbh_10687,private,127208241041.56326,2000.0,63604120.52078163
privbh_10688,private,127337691221.093,2000.0,63668845.6105465
privbh_10689,private,127644277934.91919,2000.0,63822138.9674596
privbh_1069,private,101999469342.40796,2000.0,50999734.67120398
privbh_10690,private,280140382348.2449,2000.0,140070191.17412242
privbh_10693,private,38128753243.17385,2000.0,19064376.621586926
privbh_10694,private,12701797386.426804,2000.0,6350898.693213401
privbh_10695,private,126863601820.43285,2000.0,63431800.91021642
privbh_10698,private,12750320396.645348,2000.0,6375160.198322674
privbh_10699,private,114772039112.27226,2000.0,57386019.55613613
privbh_107,private,12674979004.103779,2000.0,6337489.502051889
privbh_10700,private,114357095108.41809,2000.0,57178547.554209046
privbh_10701,private,12767570071.638672,2000.0,6383785.035819336
privbh_10704,private,38095160965.93447,2000.0,19047580.482967235
privbh_10705,private,280324250669.9922,2000.0,140162125.3349961
privbh_10707,private,12732066391.752333,2000.0,6366033.195876166
privbh_10708,private,126786592653.41312,2000.0,63393296.32670656
privbh_10715,private,12757601073.349596,2000.0,6378800.5366747985
privbh_10720,private,12740107495.53876,2000.0,6370053.74776938
privbh_10722,private,12703087767.554428,2000.0,6351543.883777214
privbh_10724,private,38092834300.02333,2000.0,19046417.150011666
privbh_1073,private,101899665419.05647,2000.0,50949832.70952824
privbh_10730,private,405938817433.634,2000.0,202969408.716817
