borehole_id,borehole_type,Q_L_per_day,total_surviving_fio_load,concentration_CFU_per_100mL,lat,long
privbh_10123,private,2000.0,335948661937.26245,16797433.096863125,-5.9880576,39.2594811
privbh_10124,private,2000.0,602567517527.643,30128375.87638215,-5.9885342,39.2606466
privbh_10125,private,3000.0,664197196763.6595,22139906.55878865,-5.9891235,39.2615835
privbh_10126,private,5000.0,249331650706.59586,4986633.014131917,-5.9881209,39.2635112
privbh_10127,private,2000.0,254102835308.00342,12705141.765400171,-5.9874688,39.2630333
privbh_10128,private,3000.0,1624822535332.7844,54160751.17775948,-5.986098,39.2641199
privbh_10129,private,5000.0,74207880787.60777,1484157.6157521554,-5.9811415,39.2642733
privbh_1013,private,2000.0,979674991963.6199,48983749.598180994,-6.1552491,39.2517884
privbh_10130,private,5000.0,586179112572.6886,11723582.251453772,-5.9851248,39.266075
privbh_10131,private,2142.857142857143,468649664543.40704,21870317.678692326,-5.9872677,39.2662868
privbh_10132,private,285.7142857142857,303838543995.38824,106343490.39838588,-6.2383086,39.2378277
privbh_10133,private,285.7142857142857,451784079577.4918,158124427.85212213,-6.2360028,39.2378846
privbh_10135,private,2000.0,301899888612.88824,15094994.430644412,-6.2332854,39.2378116
privbh_10136,private,2000.0,229152917249.85944,11457645.862492971,-6.2355496,39.2352849
privbh_10137,private,285.7142857142857,226818651580.53107,79386528.05318587,-6.2323272,39.2349559
privbh_10138,private,142.85714285714286,363664515099.29675,254565160.56950775,-6.2323601,39.2337429
privbh_10139,private,2000.0,530685455768.28625,26534272.78841431,-6.2312949,39.2325818
privbh_1014,private,857.1428571428571,708855930153.8517,82699858.51794937,-6.1465069,39.2423155
privbh_10140,private,2000.0,730899776389.376,36544988.819468796,-6.2318205,39.2330388
privbh_10141,private,285.7142857142857,489750554304.0754,171412694.0064264,-6.2332729,39.2318896
privbh_10142,private,2000.0,843761133761.7634,42188056.68808817,-6.2335298,39.2315971
privbh_10143,private,2000.0,77640926957.64311,3882046.3478821553,-6.2348415,39.2326915
privbh_10144,private,285.7142857142857,77341052977.4853,27069368.542119853,-6.234838,39.2327039
privbh_10145,private,285.7142857142857,226584563957.96808,79304597.38528882,-6.2359601,39.2328945
privbh_10146,private,571.4285714285714,77603068046.62836,13580536.908159962,-6.2362867,39.232878
privbh_10147,private,2000.0,73407815631.48181,3670390.7815740905,-6.2360583,39.2331725
privbh_1015,private,1428.5714285714284,812057429564.2168,56844020.06949518,-6.144745,39.2424323
privbh_10150,private,428.57142857142856,74002588152.57661,17267270.568934545,-6.2390205,39.2319182
privbh_10151,private,2000.0,226440122407.39764,11322006.120369883,-6.2401927,39.233052
privbh_10152,private,571.4285714285714,225159996182.10785,39402999.33186887,-6.2378084,39.2369892
privbh_10154,private,2000.0,76910265954.45728,3845513.2977228635,-6.2348867,39.2382975
privbh_10156,private,2000.0,77465683910.7648,3873284.19553824,-6.234691,39.2356744
privbh_10157,private,2000.0,73277089948.44649,3663854.497422324,-6.2327752,39.2350737
privbh_10158,private,2000.0,152628605094.08167,7631430.254704083,-6.2322144,39.2338567
privbh_10159,private,857.1428571428571,682548652214.8652,79630676.09173428,-6.2314152,39.2328649
privbh_1016,private,5000.0,505069567197.6073,10101391.343952145,-6.1442067,39.2421857
privbh_10160,private,2000.0,377247928370.48096,18862396.41852405,-6.2310298,39.2326858
privbh_10161,private,2000.0,599261884651.4133,29963094.232570667,-6.2308328,39.2330083
privbh_10163,private,571.4285714285714,291874424743.76874,51078024.33015953,-6.2345502,39.2320397
privbh_10165,private,2000.0,225384278873.3871,11269213.943669355,-6.2360608,39.2320774
privbh_10167,private,2000.0,156039652660.77417,7801982.633038709,-6.2384638,39.2335576
privbh_10168,private,2000.0,77467140955.87299,3873357.047793649,-6.2393638,39.2323775
privbh_10169,private,2000.0,152740508054.706,7637025.4027353,-6.240269,39.2333438
privbh_10170,private,428.57142857142856,302059033261.284,70480441.0942996,-6.2383531,39.237882
privbh_10171,private,285.7142857142857,151310369935.27002,52958629.477344505,-6.2371568,39.2365834
privbh_10172,private,285.7142857142857,151349711115.5484,52972398.89044194,-6.2354274,39.2351683
privbh_10173,private,285.7142857142857,441110964405.6421,154388837.54197472,-6.2316911,39.2346959
privbh_10174,private,2000.0,295716993012.0013,14785849.650600065,-6.2322613,39.2335048
privbh_10175,private,428.57142857142856,222973036097.297,52027041.75603597,-6.2308475,39.233325
privbh_10176,private,3000.0,295041152065.7428,9834705.068858093,-6.2332555,39.2313074
privbh_10177,private,285.7142857142857,73414756820.52515,25695164.8871838,-6.2355567,39.2327127
privbh_10178,private,428.57142857142856,73332733567.54726,17110971.165761027,-6.2373055,39.2355759
privbh_10179,private,285.7142857142857,226932311434.6726,79426309.00213541,-6.2394554,39.2338529
privbh_1018,private,10000.0,448143644664.4389,4481436.446644389,-6.1430912,39.2423425
privbh_10180,private,2000.0,508451371618.6863,25422568.580934312,-6.2399788,39.2346732
privbh_10183,private,1428.5714285714284,73237463550.5616,5126622.448539312,-6.2337333,39.2373091
privbh_10184,private,428.57142857142856,226905058684.64258,52944513.69308327,-6.2307976,39.2336022
privbh_10186,private,2000.0,747564079035.4484,37378203.951772414,-6.2350818,39.2314498
privbh_10188,private,1285.7142857142856,862858345855.4873,67111204.67764902,-6.2040499,39.2131848
privbh_10189,private,285.7142857142857,565722627293.3333,198002919.55266663,-6.2047154,39.2119818
privbh_1019,private,1428.5714285714284,152500595545.091,10675041.68815637,-6.1423611,39.2431092
privbh_10190,private,2000.0,151503484488.261,7575174.224413049,-6.2048001,39.2107841
privbh_10191,private,857.1428571428571,532994189304.16956,62182655.418819785,-6.2042767,39.2106525
